scen,Pothole,rankm,Drainage,Tillage,lulc.pothole,lulc.field,capa.ratio,max.h2oshed.relief,max.flow.path,max.depth,catm3,catm6
Base,bunny,0.474192169,high,conventional,CS,CS,7.5,6.1,902.7,1,c,f
BaseRetired,bunny,0.451977758,high,conventional,R,CS,7.5,6.1,902.7,1,c,f
BaseRetiredCT,bunny,0.359091771,high,contill,CS,CS,7.5,6.1,902.7,1,c,f
BaseRetiredNT,bunny,0.275474603,high,notill,R,CS,7.5,6.1,902.7,1,c,f
ConTill,bunny,0.377331301,high,contill,CS,CS,7.5,6.1,902.7,1,c,f
ConTillDrain1,bunny,1.142928332,low,contill,CS,CS,7.5,6.1,902.7,1,c,e
ConTillDrain2,bunny,0.776785108,medium,contill,CS,CS,7.5,6.1,902.7,1,c,f
ConTillDrain3,bunny,0.377331301,high,contill,CS,CS,7.5,6.1,902.7,1,c,f
ConTillRetired,bunny,3.332644048,none,contill,R,CS,7.5,6.1,902.7,1,b,d
CoverCrop,bunny,0.326169063,high,notill,CS,CS,7.5,6.1,902.7,1,c,f
Drain0,bunny,4.216357173,none,conventional,CS,CS,7.5,6.1,902.7,1,b,c
Drain1,bunny,1.205693135,low,conventional,CS,CS,7.5,6.1,902.7,1,c,e
Drain2,bunny,0.898917677,medium,conventional,CS,CS,7.5,6.1,902.7,1,c,f
Drain3,bunny,0.474192169,high,conventional,CS,CS,7.5,6.1,902.7,1,c,f
Drain0CT,bunny,3.490491667,none,contill,CS,CS,7.5,6.1,902.7,1,b,d
Drain0NT,bunny,2.544664023,none,notill,CS,CS,7.5,6.1,902.7,1,b,d
Drain1NT,bunny,1.02896501,low,notill,CS,CS,7.5,6.1,902.7,1,c,e
Drain1Retired,bunny,1.177798787,low,conventional,R,CS,7.5,6.1,902.7,1,c,e
Drain1RetiredAll,bunny,0.377558333,low,N/A,R,CS,7.5,6.1,902.7,1,c,f
Drain1RetiredCT,bunny,1.06642773,low,contill,R,CS,7.5,6.1,902.7,1,c,e
Drain1RetiredNT,bunny,0.980036346,low,notill,R,CS,7.5,6.1,902.7,1,c,f
Drain2NT,bunny,0.538946752,medium,notill,CS,CS,7.5,6.1,902.7,1,c,f
Drain2Retired,bunny,0.84126716,medium,conventional,R,CS,7.5,6.1,902.7,1,c,f
